name,review
wat****,2인인데 3~4인분 나올줄ㅋㅋㅋ
강냉쓰,
눈누인,쭈삼 먹었는데 넘넘 맛있었어요! 계란찜도 먹고 홍합탕도 먹을 수 있어서 엄청 좋아용. 날치알도 무한리필이어서 쭈꾸미에도 싸서 먹고 볶음밥에도 볶아서 먹을 수 있어요! 맵기도 맛있게 매워서 김에 싸먹으면 정말 맛있어용 😆
커피한잔2470,
flu****,굿
m훗남m,굳
희오로,맛있어요:)
sia****,
리뷰무조건쓰는사람,굿
내꼬씨,
뿌이4867,조아요
coq****,
yw760,
juh****,
one7505,
쭈얜,쭈삼 진짜 맛있고 볶음밥까지👍🏻
JB4097,
LuvlyM,
콤마24,
san****,맛이 있머요
김현욱30,
우웅4136,너무 맛있어요~~ 사장님도 친절하시고 음식도 빨리 나오고 좋아요!
김제로0,너무 맛잇어요 사장님도 진짜 친절하세용ㅎㅎ 원래 학교 다니면서도 점심때 진짜 자주왓어요👍👍👍👍
Yeonniii,쭈삼 최고!!!!! 그리고 날치알에 깻잎 듬뿍 다다 많이 그리고 친절하신!! 이곳 맛집😆
세진찐,존맛탱..👍🏻올때마다 느끼는 거지만 볶음밥이 진짜 맛있어여ㅠㅠㅠㅠㅠㅠㅠ 양념이 달큰한게 걍 계속먹게되요 배불러도ㅠㅠ!ㅋㅋㅋㅋㅋㅋㅋ번창하세요  문닫지마세요 제바류ㅠㅠㅠㅠㅠㅠ
rimincong,직원분들도 너무 친절하시고 너무 맛있었어요!!!꼭 오세요!!
koko1234,둘이서 완전 잘먹었습니다~~
Carnivore,신촌에도 쭈꾸미 맛집 있나 찾다가 왔는데 이거저거 많고 좋아요 특히 날치알 계속 먹는게 최고
맛집찐리뷰어,제가 쭈꾸미 생각날때마다 일부러 꼭 찾아와서 먹는 맛집이에요bbbb 매번 먹을때마다 오늘도 성공적이었다 늘 한결같이 만족하고 갑니다^^  사장님도 진짜진짜 너무 친절하셔서 기분도 좋아요. 인테리어는 옛날 시대를 느낄 수 있어서 뭔가 박물관온 것 같기도 하고 술이 술술 당긴답니다!! 쭈꾸미를 좋아하시거나 신촌에서 저녁 메뉴가 고민되신다면 쭈꾸미 블루스 강추!!!!!!!! 음식사진은 나오자마자 먹을생각에 군침 흘리다 못 찍었네요ㅜㅜㅜ
냠냠남냠냠남냠,쭈꾸미 너무 맛있고 볶음밥도 잘먹고 갑니다~!!!! 사장님도 너무 친절하시고 좋아요 ^_^♡
김지연7187,엄청 엄청 맛있어요!! 볶음밥도 먹엇는데 다 먹었어요~~ 꼭꼭 방문하세용
호호567,
KUY,너무 맛있게 먹었습니다!!사장님도 친절하셔서 기분좋게 식사하였어요~~~
2ILGU,너무 맛있게 잘먹었습ㄴㅣ다
뇽01,너무 맛있고 분위기도 너무 좋아요!
거북이자라,여자친구가 신촌 맛집 알려달라고 해서 여기 쭈꾸미가 맛있다고 데려왔습니다 ㅎㅎ 가게 내부 인테리어도 옛날 감성 나서 좋았고. 쭈삼이랑 치즈 볶음밥 시켜서 먹었는데 메뉴도 전부 다 맛있었습니다 ! 주인 아주머니도 너무 친절하셔서 기분 좋게 식사했어요 다음에 또 오고 싶습니다 :-) 많이 파세요 !
쪼꼬밍고,항상너무 맛닜게 잘먹고있어요
ajt****,
윤뿡빵,매운데 맛있게 매워서 싹싹 다 먹었어용!!ㅎㅎ
쪼꼬밍고,항상맛있어요!!!
어마무시41,너무맛있어요!  또오고싶어요!!!
콩 ㅇ,
현아6168,매운거 좋아하시는 분들 추천해용 맛있게 매워용!!
반반81,너어어어어어어어무 맛있었어요 직원분들도 짱 친절하시고 맛도 있고 분위기도 좋고 깔끔깨끗해서 또 올거에용
주혜빈20,맛있어용! 동네 맛집입니당🥺🥺
단녕,너무너무 친절하시고 맛있게 잘 먹었습니다^.^
황지원50,완전 추천👍🏻👍🏻 맛있어요!
yubeenlee,먹어도 먹어도 와도 와도 너무 맛있어요ㅠㅠㅠ신촌 주변 대학 다니면서 이 곳 모르는 학생들 없답니다. 가본 쭈꾸미 집 중에서 제일 맛있어요. 분위기도 최고❤️ 다들 꼭 가보세요:)
pil****,맛있어요 신촌맛집으로 강추합니다
Bt53,꾸준히 생각나서 몇년째 오는곳입니다! 신촌에서 제일 맛있는 쭈꾸미 집이에요! 당면추가도 하면 더맛있으니까 꼭 추가해서 드셔보세요!! 아저씨들 많은 찐 맛집입니다!! ㅋㅋ
mao****,너무 맛있게 잘먹었습니다 . 깻잎과 날치알이 무한리필인점이 제일좋았습니다!!
lov****,매번 오지만 너무 맛있어용&gt;&lt;❣️
9476qwd,맛있고 양도 많고 사장님도 너무 친절하세요 :) 분위기 짱!!!
ㅎㅕㄴㅇㅏ,진짜 맛있고 사장님이 너무 친절하세요👍👍
우와4371,
mina2666,사장님도 친절하시고 완전완전 맛있어용~~~ 처음 왔는데 또 오고싶어요!! 옆에 계란도 맛있고 쭈꾸미도 짱 맛있어요 ㅎㅎ 볶음밥도 시켰는데 볶음밥두 맛있어요~~~
느리14,
mmy690815,쭈삼 너무 맛있어요
yes****,몇년째 오고있는 최애맛집 ㅠㅠㅠ 신촌대학생들 다모여
monicajean,좋아요
hyu****,정말 맛있어요!! 추처누ㅜ
김현지36,최고예요! 친절도 맛도 최고!
1472,맛있어용 짱짱짱!!!!!
All긍정마인드,맵고 맛있게 먹고 갑니다. 볶음밥까지~♡
